,rf,rs,test-f1,train-f1,abs_diff
sim_35,0.7568809507429252,0.5528232120090019,0.15582558970693355,0.8504340962904499,0.6946085065835164
sim_95,0.9378223225930765,0.42517417020596515,0.15498330948974723,0.7052818464269862,0.550298536937239
sim_30,0.468173448745982,0.7271616953588464,0.15447154471544716,0.9739344839732301,0.819462939257783
sim_73,0.8062843517920565,0.5187268997059599,0.15446960667461263,0.8067949242734344,0.6523253175988217
sim_89,0.5331595568113878,0.8515775478972111,0.15314885496183203,0.9969018932874353,0.8437530383256032
sim_41,0.9898800693496993,0.322084392293314,0.15193502150023888,0.5836368050497693,0.4317017835495305
sim_66,0.7076103734350196,0.3643306619081159,0.15163147792706333,0.642624476500698,0.49099299857363465
sim_54,0.6672543656567126,0.5120991943954128,0.15045519885002395,0.8077709611451943,0.6573157622951704
sim_56,0.6824856629994241,0.519244487119882,0.1493756003842459,0.8081799591002043,0.6588043587159584
sim_22,0.6047096785646765,0.5752092970214856,0.1487880969522438,0.8676384839650146,0.7188503870127708
sim_76,0.4806306706220629,0.7822708646528698,0.1467274035003596,0.9901196047841914,0.8433922012838317
sim_71,0.8744950496893145,0.29378860331511036,0.14409638554216866,0.5317220543806646,0.3876256688384959
sim_51,0.7097613445157801,0.2921594007275665,0.13978234582829502,0.5216730038022813,0.3818906579739863
sim_27,0.4154127185039287,0.9195304446628267,0.13726437892701787,0.9981083404987102,0.8608439615716923
sim_23,0.4824635483072194,0.7123648407333179,0.13678105364910587,0.9706817379018016,0.8339006842526957
sim_3,0.726999240080001,0.3091582195555944,0.1340782122905028,0.5515527950310559,0.41747458274055316
sim_44,0.49446606210652,0.3926449117918106,0.1336573511543135,0.648886827458256,0.5152294763039424
sim_34,0.6221730645613065,0.33333592665325096,0.13161728994657598,0.5905683192261185,0.45895102927954257
sim_7,0.925907490272815,0.18530806494813834,0.1278360575750183,0.2869718309859155,0.15913577341089719
sim_50,0.7607717004027801,0.2301486986340503,0.1223091976516634,0.3801055848846902,0.2577963872330268
sim_88,0.7241817604061593,0.18034938575355153,0.12176039119804401,0.2650817236255572,0.14332133242751322
sim_64,0.47120188923582307,0.3594086657956438,0.12052915237628611,0.6069295101553166,0.48640035777903046
sim_52,0.3731088718112634,0.8279946285966776,0.11513963743263106,0.9946524064171123,0.8795127689844813
sim_19,0.8529046516597955,0.1660829756808907,0.11039921143420404,0.22728653904588278,0.11688732761167873
sim_86,0.37340390801627255,0.8446739254565098,0.11031765574981531,0.9960365328278477,0.8857188770780323
